學年度,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
103,3,桃園縣,34312,縣立大溪高中,33,55,0,0,2,8,33,723,604,201,194
103,3,桃園縣,34314,縣立壽山高中,60,78,0,0,3,11,54,857,1308,250,337
103,3,桃園縣,34319,縣立平鎮高中,38,70,0,0,3,10,48,988,932,306,330
103,3,桃園縣,34332,縣立觀音高中,53,81,0,0,3,8,24,518,371,0,0
103,3,桃園縣,34347,縣立永豐高中,40,127,0,4,1,15,31,642,626,218,188
103,3,桃園縣,34399,縣立大園國際高中,40,48,0,0,7,5,40,592,1040,195,302
103,4,新竹縣,40302,國立竹東高中,35,76,11,13,5,16,48,910,922,269,351
103,4,新竹縣,40304,國立關西高中,23,49,5,1,6,13,27,473,500,167,131
103,4,新竹縣,40308,國立竹北高中,47,93,6,21,6,21,57,1052,1043,290,376
103,4,新竹縣,41303,私立義民高中,43,68,11,13,4,16,48,1082,1113,349,370
103,4,新竹縣,41305,私立忠信高中,47,63,3,1,4,9,62,1450,1308,715,588
103,4,新竹縣,41306,私立東泰高中,38,39,11,11,7,16,53,1107,659,295,199
103,4,新竹縣,41307,私立仰德高中,27,33,16,14,9,14,44,949,629,279,216
103,4,新竹縣,44320,縣立湖口高中,42,117,0,0,3,11,18,295,338,93,106
103,5,苗栗縣,50303,國立苗栗高中,38,58,0,0,7,13,42,741,791,197,275
103,5,苗栗縣,50310,國立竹南高中,28,75,0,1,7,20,42,797,799,255,265
103,5,苗栗縣,50314,國立卓蘭實驗高中,50,68,7,9,8,19,33,415,736,132,258
103,5,苗栗縣,50315,國立苑裡高中,35,52,0,0,6,12,36,555,733,181,260
103,5,苗栗縣,51302,私立君毅高中,44,71,15,9,14,16,50,1075,769,405,291
103,5,苗栗縣,51305,私立大成高中,11,14,11,3,6,7,28,254,261,78,108
103,5,苗栗縣,51306,私立建臺高中,55,72,16,12,9,17,43,977,755,420,346
103,5,苗栗縣,51307,私立全人實驗高中,9,4,0,0,1,2,3,26,21,5,5
103,5,苗栗縣,54308,縣立三義高中,19,37,0,0,3,6,8,117,135,0,0
103,5,苗栗縣,54309,縣立苑裡高中,47,103,0,0,4,11,18,263,347,93,126
103,5,苗栗縣,54317,縣立興華高中,39,86,0,0,5,10,18,285,306,80,83
103,5,苗栗縣,54333,縣立大同高中,12,32,0,0,2,5,8,128,140,0,0
103,6,臺中市,60303,國立大甲高中,46,65,2,0,5,18,42,652,936,247,287
103,6,臺中市,60305,國立清水高中,44,55,0,0,3,17,42,777,877,254,303
103,6,臺中市,60312,國立豐原高中,50,59,0,2,3,20,45,770,992,264,326
103,6,臺中市,60322,國立興大附中,50,47,0,0,3,17,42,915,811,299,278
103,6,臺中市,60323,國立中科實驗高級中學,16,17,6,6,1,11,12,215,142,67,49
103,6,臺中市,61301,財團法人常春藤高中,21,29,16,4,3,7,23,482,453,182,191
103,6,臺中市,61306,私立明台高中,71,101,15,10,13,19,98,1894,2410,645,808
103,6,臺中市,61309,私立致用高中,79,104,15,21,7,21,93,2618,1725,814,642
103,6,臺中市,61310,私立大明高中,76,85,32,39,7,29,83,1920,1728,770,625
103,6,臺中市,61311,私立嘉陽高中,51,68,45,38,6,18,83,2174,1300,740,508
103,6,臺中市,61313,私立明道高中,156,181,3,8,12,48,93,2334,2268,746,801
103,6,臺中市,61314,私立僑泰高中,103,124,29,38,12,27,135,3350,3079,1108,1055
103,6,臺中市,61315,私立華盛頓高中,32,61,8,2,4,17,22,522,455,200,155
103,6,臺中市,61316,私立青年高中,68,110,52,72,7,22,95,2195,1602,692,600
103,6,臺中市,61317,私立弘文高中,46,81,0,0,11,10,36,950,661,306,280
103,6,臺中市,61318,私立立人高中,52,79,11,9,2,20,48,1158,1104,388,397
103,6,臺中市,61319,私立玉山高中,25,60,4,14,8,22,42,914,567,428,285
103,6,臺中市,61321,私立慈明高中,55,96,22,21,10,27,89,2075,1522,719,579
103,6,臺中市,64308,市立后綜高中,60,96,9,9,3,12,30,474,551,172,181
103,6,臺中市,64324,市立大里高中,37,76,0,0,5,10,21,346,412,121,121
103,6,臺中市,64328,市立新社高中,44,70,0,0,2,13,21,380,369,113,122
103,6,臺中市,64336,市立長億高中,40,74,0,0,4,13,24,471,415,146,156
103,6,臺中市,64342,市立中港高中,50,86,0,0,4,14,18,333,350,125,102
103,7,彰化縣,70301,國立彰化女中,38,66,6,9,4,16,45,0,1807,0,609
103,7,彰化縣,70304,國立員林高中,57,65,9,5,9,15,51,829,1223,329,372
103,7,彰化縣,70307,國立彰化高中,76,69,11,11,9,19,63,2364,82,819,25
103,7,彰化縣,70316,國立鹿港高中,52,54,10,21,8,16,48,934,873,302,313
103,7,彰化縣,70319,國立溪湖高中,49,61,0,0,10,13,45,757,1022,271,329
103,7,彰化縣,71311,私立精誠高中,70,63,5,4,4,16,30,786,601,268,200
103,7,彰化縣,71317,私立文興高中,29,61,0,0,4,17,29,589,801,207,285
103,7,彰化縣,71318,財團法人正德高中,44,46,11,10,6,22,48,772,1171,525,549
103,7,彰化縣,74308,縣立彰化藝術高中,35,74,0,0,3,11,27,329,464,90,108
103,7,彰化縣,74313,縣立二林高中,60,100,1,2,3,11,15,235,211,73,79
103,7,彰化縣,74323,縣立和美高中,55,111,11,5,4,11,10,175,181,0,0
103,7,彰化縣,74328,縣立田中高中,66,80,0,0,6,8,12,201,158,71,57
103,7,彰化縣,74339,縣立成功高中,46,55,0,0,3,8,12,177,190,55,72
103,8,南投縣,80302,國立南投高中,67,51,5,0,10,15,45,907,737,266,257
103,8,南投縣,80305,國立中興高中,39,60,6,11,5,15,42,718,679,243,237
103,8,南投縣,80307,國立竹山高中,44,57,5,7,10,15,42,660,673,237,257
103,8,南投縣,80308,國立暨大附中,39,59,8,12,5,15,43,567,761,176,246
103,8,南投縣,81311,私立五育高中,14,13,0,0,9,8,18,269,236,127,102
103,8,南投縣,81312,私立三育高中,17,12,0,3,2,8,7,85,71,33,29
103,8,南投縣,81313,私立弘明實驗高中,8,7,2,3,3,11,3,49,33,13,16
103,8,南投縣,81314,私立普台高中,26,51,0,0,5,13,16,263,252,99,90
103,8,南投縣,84309,縣立旭光高中,54,98,0,0,3,10,21,362,387,118,150
103,9,雲林縣,90305,國立斗六高中,55,55,2,1,9,14,48,879,938,303,309
103,9,雲林縣,90306,國立北港高中,35,45,1,1,4,14,32,541,560,212,206
103,9,雲林縣,90315,國立虎尾高中,44,54,0,2,5,16,42,821,809,259,279
103,9,雲林縣,91307,私立永年高中,43,34,0,0,5,12,19,478,271,190,118
103,9,雲林縣,91308,私立正心高中,68,78,4,10,11,16,27,642,520,215,172
103,9,雲林縣,91311,私立文生高中,19,17,0,0,4,5,8,176,107,67,45
103,9,雲林縣,91312,私立巨人高中,5,9,0,0,2,4,15,189,400,68,121
